NAME,STATION_TYPE,STATION_ID,STATION_STATUS,LAST_REPORTED,NUM_DOCKS_AVAILABLE,NUM_DOCKS_DISABLED,NUM_BIKES_AVAILABLE,NUM_EBIKES_AVAILABLE,NUM_BIKES_DISABLED,IS_INSTALLED,IS_RETURNING,IS_RENTING,HAS_KIOSK,IOS,ANDROID,ELECTRIC_BIKE_SURCHARGE_WAIVER,EIGHTD_HAS_KEY_DISPENSER,CAPACITY,RENTAL_METHODS,REGION_ID,REGION_NAME,GIS_ID,LATITUDE,LONGITUDE,GIS_LAST_MOD_DTTM,OBJECTID,geometry,Name,Opening Year
Woodley Park Metro / Calvert St & Connecticut Ave NW,classic,efe6a4e1-5900-46d6-9755-db074f87c5c2,,2024-10-22T07:06:07Z,19,0,3,1,1,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,23,"KEY,CREDITCARD",42,DCA-CABI,,38.923389,-77.051833,2024-10-22T07:07:28Z,217279774,"{'type': 'Point', 'coordinates': [-77.05183852697944, 38.92339724430622]}",Woodley Park Metro / Calvert St & Connecticut Ave NW,2019.0
Hamlin & 7th St NE,classic,08256ee8-1f3f-11e7-bf6b-3863bb334450,,2024-10-22T07:06:07Z,3,0,12,8,0,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,15,"KEY,CREDITCARD",42,DCA-CABI,,38.927497,-76.997194,2024-10-22T07:07:28Z,217279775,"{'type': 'Point', 'coordinates': [-76.99719985313664, 38.927507493958196]}",Hamlin & 7th St NE,2013.0
3rd & D St SE,classic,08249407-1f3f-11e7-bf6b-3863bb334450,,2024-10-22T07:06:08Z,4,0,10,0,0,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,15,"KEY,CREDITCARD",42,DCA-CABI,,38.8851,-77.0023,2024-10-22T07:07:28Z,217279776,"{'type': 'Point', 'coordinates': [-77.00230744034269, 38.88510520184009]}",3rd & D St SE,2010.0
Columbus Ave & Tribeca St,classic,9029233f-84db-4f28-895d-8ecf727fb6d2,,2024-10-22T07:06:10Z,9,0,2,0,0,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,11,"KEY,CREDITCARD",43,DCA-CABI,,39.125828,-77.167059,2024-10-22T07:07:28Z,217279777,"{'type': 'Point', 'coordinates': [-77.16705605516074, 39.12583755214722]}",Columbus Ave & Tribeca St,2017.0
Washington-Liberty High School / N Stafford St & Generals Way,classic,32a59636-02e5-4c53-a437-020986923dca,,2024-10-22T07:06:08Z,8,0,7,3,0,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,15,"KEY,CREDITCARD",41,DCA-CABI,,38.888282,-77.111066,2024-10-22T07:07:28Z,217279778,"{'type': 'Point', 'coordinates': [-77.11106976095304, 38.888286423365095]}",Washington-Liberty High School / N Stafford St & Generals Way,2020.0
11th & Kenyon St NW,classic,08247522-1f3f-11e7-bf6b-3863bb334450,,2024-10-22T07:06:09Z,0,34,0,0,4,YES,NO,NO,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,39,"KEY,CREDITCARD",42,DCA-CABI,,38.929464,-77.027822,2024-10-22T07:07:28Z,217279779,"{'type': 'Point', 'coordinates': [-77.02781978383082, 38.92946802820391]}",11th & Kenyon St NW,2010.0
11th & C St SE,classic,3f1dfbbd-7b34-4efd-91a3-60acad4cf42f,,2024-10-22T07:06:09Z,7,0,11,2,1,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,19,"KEY,CREDITCARD",42,DCA-CABI,,38.885908,-76.991476,2024-10-22T07:07:28Z,217279780,"{'type': 'Point', 'coordinates': [-76.99147310224177, 38.885915668080244]}",11th & C St SE,2019.0
20th St & Florida Ave NW,classic,0824854e-1f3f-11e7-bf6b-3863bb334450,,2024-10-22T07:06:09Z,8,0,6,2,1,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,15,"KEY,CREDITCARD",42,DCA-CABI,,38.9154,-77.0446,2024-10-22T07:07:28Z,217279781,"{'type': 'Point', 'coordinates': [-77.04460297990289, 38.915409841721356]}",20th St & Florida Ave NW,2010.0
King St & W Braddock Rd,classic,50cce12f-505a-414c-8b58-5bd4204a385e,,2024-10-22T07:06:09Z,14,0,0,0,1,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,15,"KEY,CREDITCARD",40,DCA-CABI,,38.827674,-77.088985,2024-10-22T07:07:28Z,217279782,"{'type': 'Point', 'coordinates': [-77.08899043877871, 38.82767860167299]}",King St & W Braddock Rd,2022.0
Old Meadow Rd & Old Meadow Ln,classic,1893304030462804528,,2024-10-22T07:06:12Z,9,0,3,0,0,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,12,"KEY,CREDITCARD",,DCA-CABI,,38.918988,-77.21246,2024-10-22T07:07:28Z,217279783,"{'type': 'Point', 'coordinates': [-77.2124660613812, 38.91899969024579]}",,
