id,long,lat,open_year,name,2010,2011,2012,2013,2014,2015,2016,opened_station,opened_2013
83fa4699-b2ee-4f14-af3b-167f34a62fb4,-77.221807,38.904415,,,35681.0,35741.0,34987.0,35000.0,34000.0,34000.0,35000.0,1,False
e07eed7c-2d2a-4f13-aff7-2be6500958f7,-77.095513,38.916561,2019.0,48th Pl & MacArthur Blvd NW,9390.5,9439.0,7725.0,7758.5,7903.0,7008.0,7178.0,1,False
08249ef2-1f3f-11e7-bf6b-3863bb334450,-77.041779,38.905067,2010.0,18th & M St NW,14952.545454545454,14570.454545454546,14663.818181818182,14727.272727272728,13212.0,12886.083333333334,13045.416666666666,1,False
082544b7-1f3f-11e7-bf6b-3863bb334450,-77.077078,38.943837,2013.0,39th & Veazey St NW,16736.666666666668,16823.0,17252.666666666668,16876.0,17190.0,17311.666666666668,14909.0,1,True
082524a2-1f3f-11e7-bf6b-3863bb334450,-77.086063,38.893237,2020.0,N Veitch St & Key Blvd,12773.333333333334,12804.666666666666,12719.666666666666,13233.333333333334,12700.0,12633.333333333334,11300.0,1,False
08253b2b-1f3f-11e7-bf6b-3863bb334450,-77.03353,38.902,2012.0,15th & K St NW,15346.565217391304,16322.565217391304,16556.347826086956,16264.652173913044,14760.521739130434,14748.869565217392,15465.307692307691,1,False
082493a5-1f3f-11e7-bf6b-3863bb334450,-77.015289,38.899408,2010.0,3rd & H St NW,27331.4,27445.5,27178.5,26223.0,21799.666666666668,19779.416666666668,19627.416666666668,1,False
082477f4-1f3f-11e7-bf6b-3863bb334450,-77.0388,38.9319,2010.0,Lamont & Mt Pleasant NW,7321.0,7077.333333333333,7013.666666666667,5590.0,5694.333333333333,5953.25,6865.5,1,False
9973e0f4-23dd-4b50-9ef4-8408fa8a1105,-77.001095,38.821563,,,31061.0,31192.0,28480.0,15590.0,15575.0,17348.5,17690.5,1,False
0825fa8b-1f3f-11e7-bf6b-3863bb334450,-77.084801,38.890612,2020.0,Court House Metro / 15th St & N Uhle St,10303.0,10458.0,10271.0,10000.0,8500.0,6450.0,7100.0,1,False
082486f0-1f3f-11e7-bf6b-3863bb334450,-77.004169,38.876219,2010.0,M St & New Jersey Ave SE,4800.0,2895.0,2869.0,2881.0,16284.0,14149.666666666666,14479.0,1,False
0824799f-1f3f-11e7-bf6b-3863bb334450,-77.032008,38.913046,2010.0,14th & R St NW,17597.2,17688.2,18317.8,18397.4,17350.833333333332,13621.166666666666,13938.333333333334,1,False
